CIE10,literal_CIE10,BDCAP,literal_BDCAP,Cambio mapeo julio 18
A69.0,Estomatitis ulcerativa necrotizante,D83,Enfermedades de la boca/lengua/labios,
A69.1,Otras infecciones de Vincent,D83,Enfermedades de la boca/lengua/labios,
A69.2,Enfermedad de Lyme,A78,Otras enfermedades infecciosas no especificadas,
A69.8,Otras infecciones especificadas por espiroquetas,A78,Otras enfermedades infecciosas no especificadas,
A69.9,"Infección por espiroqueta, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A70,Infección debida a Chlamydia psittaci,A78,Otras enfermedades infecciosas no especificadas,
A71,Tracoma,F86,Tracoma,
A71.0,Estado inicial de tracoma,F86,Tracoma,
A71.1,Estado activo de tracoma,F86,Tracoma,
A71.9,"Tracoma, no especificado",F86,Tracoma,
A74,Otras enfermedades causadas por clamidias,A78,Otras enfermedades infecciosas no especificadas,
A74.0,Conjuntivitis por clamidias (H13.1*),F70,Conjuntivitis infecciosas,
A74.8,Otras enfermedades por clamidias,A78,Otras enfermedades infecciosas no especificadas,
A74.9,"Infección por clamidias, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A75,Tifus,A78,Otras enfermedades infecciosas no especificadas,
A75.0,Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos,A78,Otras enfermedades infecciosas no especificadas,
A75.1,Tifus recrudescente [enfermedad de Brill],A78,Otras enfermedades infecciosas no especificadas,
A75.2,Tifus debido a Rickettsia typhi,A78,Otras enfermedades infecciosas no especificadas,
A75.3,Tifus debido a Rickettsia tsutsugamushi,A78,Otras enfermedades infecciosas no especificadas,
A75.9,"Tifus, no especificado",A78,Otras enfermedades infecciosas no especificadas,
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],A78,Otras enfermedades infecciosas no especificadas,
A77.0,Fiebre maculosa debida a Rickettsia rickettsii,A78,Otras enfermedades infecciosas no especificadas,
A77.1,Fiebre maculosa debida a Rickettsia conorii,A78,Otras enfermedades infecciosas no especificadas,
A77.2,Fiebre maculosa debida a Rickettsia siberica,A78,Otras enfermedades infecciosas no especificadas,
A77.3,Fiebre maculosa debida a Rickettsia australis,A78,Otras enfermedades infecciosas no especificadas,
A77.8,Otras fiebres maculosas,A78,Otras enfermedades infecciosas no especificadas,
A77.9,"Fiebre maculosa, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A78,Fiebre Q,A78,Otras enfermedades infecciosas no especificadas,
A79,Otras rickettsiosis,A78,Otras enfermedades infecciosas no especificadas,
A79.0,Fiebre de las trincheras,A78,Otras enfermedades infecciosas no especificadas,
A79.1,Rickettsiosis pustulosa debida a Rickettsia akari,A78,Otras enfermedades infecciosas no especificadas,
A79.8,Otras rickettsiosis especificadas,A78,Otras enfermedades infecciosas no especificadas,
A79.9,"Rickettsiosis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A80,Poliomielitis aguda,N70,Poliomielitis,
A80.0,"Poliomielitis aguda paralítica, asociada a vacuna",N70,Poliomielitis,
A80.1,Poliomielitis aguda paralítica debida a virus salvaje importado,N70,Poliomielitis,
A80.2,Poliomielitis aguda paralítica debida a virus salvaje autóctono,N70,Poliomielitis,
A80.3,"Otras poliomielitis agudas paralíticas, y las no especificadas",N70,Poliomielitis,
A80.4,Poliomielitis aguda no paralítica,N70,Poliomielitis,
A80.9,"Poliomielitis aguda, sin otra especificación",N70,Poliomielitis,
A81,Infecciones del sistema nervioso central por virus atípico,N73,Otras infecciones del sistema nervioso,
A81.0,Enfermedad de Creutzfeldt-Jakob,N73,Otras infecciones del sistema nervioso,
A81.1,Panencefalitis esclerosante subaguda,N73,Otras infecciones del sistema nervioso,
A81.2,Leucoencefalopatía multifocal progresiva,N73,Otras infecciones del sistema nervioso,
A81.8,Otras infecciones del sistema nervioso central por virus atípico,N73,Otras infecciones del sistema nervioso,
A81.9,"Infecciones del sistema nervioso central por virus atípico, sin otra especificación",N73,Otras infecciones del sistema nervioso,
A82,Rabia,A77,Otras enfermedades virales no especificadas,
A82.0,Rabia selvática,A77,Otras enfermedades virales no especificadas,
A82.1,Rabia urbana,A77,Otras enfermedades virales no especificadas,
A82.9,"Rabia, sin otra especificación",A77,Otras enfermedades virales no especificadas,
A83,Encefalitis viral transmitida por mosquitos,N71,Meningitis/encefalitis,
A83.0,Encefalitis japonesa,N71,Meningitis/encefalitis,
A83.1,Encefalitis equina del oeste,N71,Meningitis/encefalitis,
A83.2,Encefalitis equina del este,N71,Meningitis/encefalitis,
A83.3,Encefalitis de San Luis,N71,Meningitis/encefalitis,
A83.4,Encefalitis australiana,N71,Meningitis/encefalitis,
A83.5,Encefalitis de California,N71,Meningitis/encefalitis,
A83.6,Enfermedad por virus Rocío,N71,Meningitis/encefalitis,
A83.8,Otras encefalitis virales transmitidas por mosquitos,N71,Meningitis/encefalitis,
A83.9,"Encefalitis viral transmitida por mosquitos, sin otra especificación",N71,Meningitis/encefalitis,
A84,Encefalitis viral transmitida por garrapatas,N71,Meningitis/encefalitis,
A84.0,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa],N71,Meningitis/encefalitis,
A84.1,Encefalitis centroeuropea transmitida por garrapatas,N71,Meningitis/encefalitis,
A84.8,Otras encefalitis virales transmitidas por garrapatas,N71,Meningitis/encefalitis,
A84.9,"Encefalitis viral transmitida por garrapatas, sin otra especificación",N71,Meningitis/encefalitis,
A85,"Otras encefalitis virales, no clasificadas en otra parte",N71,Meningitis/encefalitis,
A85.0,Encefalitis enteroviral (G05.1*),N70,Poliomielitis,
A85.1,Encefalitis por adenovirus (G05.1* ),N71,Meningitis/encefalitis,
A85.2,"Encefalitis viral transmitida por artrópodos, sin otra especificación",N71,Meningitis/encefalitis,
A85.8,Otras encefalitis virales especificadas,N71,Meningitis/encefalitis,
A86,"Encefalitis viral, no especificada",N71,Meningitis/encefalitis,
A87,Meningitis viral,N71,Meningitis/encefalitis,
A87.0,Meningitis enteroviral (G02.0*),N71,Meningitis/encefalitis,
A87.1,Meningitis debida a adenovirus (G02.0*),N71,Meningitis/encefalitis,
A87.2,Coriomeningitis linfocítica,N71,Meningitis/encefalitis,
A87.8,Otras meningitis virales,N71,Meningitis/encefalitis,
A87.9,"Meningitis viral, sin otra especificación",N71,Meningitis/encefalitis,
A88,"Otras infecciones virales del sistema nervioso central, no clasificadas en otra parte",N73,Otras infecciones del sistema nervioso,
A88.0,Fiebre exantemática enteroviral [exantema de Boston],A76,Otras enfermedades virales con exantema,
A88.1,Vértigo epidémico,H82,Síndromes vertiginosos,
A88.8,Otras infecciones virales especificadas del sistema nervioso central,N73,Otras infecciones del sistema nervioso,
A89,"Infección viral del sistema nervioso central, no especificada",N73,Otras infecciones del sistema nervioso,
A90,Fiebre del dengue [dengue clásico],A77,Otras enfermedades virales no especificadas,
A91,Fiebre del dengue hemorrágico,A77,Otras enfermedades virales no especificadas,
A92,Otras fiebres virales transmitidas por mosquitos,A77,Otras enfermedades virales no especificadas,
A92.0,Enfermedad por virus Chikungunya,A77,Otras enfermedades virales no especificadas,
A92.1,Fiebre de O’nyong-nyong,A77,Otras enfermedades virales no especificadas,
A92.2,Fiebre equina venezolana,A77,Otras enfermedades virales no especificadas,
A92.3,Enfermedad viral del oeste del Nilo,A77,Otras enfermedades virales no especificadas,
A92.4,Fiebre del valle del Rift,A77,Otras enfermedades virales no especificadas,
A92.8,Otras fiebres virales especificadas transmitidas por mosquitos,A77,Otras enfermedades virales no especificadas,
A92.9,"Fiebre viral transmitida por mosquito, sin otra especificación",A77,Otras enfermedades virales no especificadas,
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas en otra parte",A77,Otras enfermedades virales no especificadas,
A93.0,Enfermedad por virus de Oropouche,A77,Otras enfermedades virales no especificadas,
A93.1,Fiebre transmitida por flebótomos,A77,Otras enfermedades virales no especificadas,
A93.2,Fiebre de Colorado transmitida por garrapatas,A77,Otras enfermedades virales no especificadas,
A93.8,Otras fiebres virales especificadas transmitidas por artrópodos,A77,Otras enfermedades virales no especificadas,
A94,"Fiebre viral transmitida por artrópodos, no especificada",A77,Otras enfermedades virales no especificadas,
A95,Fiebre amarilla,A77,Otras enfermedades virales no especificadas,
A95.0,Fiebre amarilla selvática,A77,Otras enfermedades virales no especificadas,
A95.1,Fiebre amarilla urbana,A77,Otras enfermedades virales no especificadas,
A95.9,"Fiebre amarilla, no especificada",A77,Otras enfermedades virales no especificadas,
A96,Fiebre hemorrágica por arenavirus,A77,Otras enfermedades virales no especificadas,
A96.0,Fiebre hemorrágica de Junín,A77,Otras enfermedades virales no especificadas,
A96.1,Fiebre hemorrágica de Machupo,A77,Otras enfermedades virales no especificadas,
A96.2,Fiebre de Lassa,A77,Otras enfermedades virales no especificadas,
A96.8,Otras fiebres hemorrágicas por arenavirus,A77,Otras enfermedades virales no especificadas,
A96.9,"Fiebre hemorrágica por arenavirus, sin otra especificación",A77,Otras enfermedades virales no especificadas,
A98,"Otras fiebres virales hemorrágicas, no clasificadas en otra parte",A77,Otras enfermedades virales no especificadas,
A98.0,Fiebre hemorrágica de Crimea-Congo,A77,Otras enfermedades virales no especificadas,
A98.1,Fiebre hemorrágica de Omsk,A77,Otras enfermedades virales no especificadas,
A98.2,Enfermedad de la selva de Kyasanur,A77,Otras enfermedades virales no especificadas,
A98.3,Enfermedad por el virus de Marburg,A77,Otras enfermedades virales no especificadas,
A98.4,Enfermedad por el virus de Ebola,A77,Otras enfermedades virales no especificadas,
A98.5,Fiebres hemorrágicas con síndrome renal,A77,Otras enfermedades virales no especificadas,
A98.8,Otras fiebres hemorrágicas virales especificadas,A77,Otras enfermedades virales no especificadas,
A99,"Fiebre viral hemorrágica, no especificada",A77,Otras enfermedades virales no especificadas,
B00,Infecciones herpéticas [herpes simple],S71,Herpes simple,
B00.0,Eczema herpético,S71,Herpes simple,
B00.1,Dermatitis vesicular herpética,S71,Herpes simple,
B00.2,Gingivoestomatitis y faringoamigdalitis herpética,S71,Herpes simple,
B00.3,Meningitis herpética (G02.0*),N71,Meningitis/encefalitis,
B00.4,Encefalitis herpética (G05.1*),N71,Meningitis/encefalitis,
B00.5,Oculopatía herpética,F73,Otras infecciones/inflamaciones de los ojos,
B00.7,Enfermedad herpética diseminada,A77,Otras enfermedades virales no especificadas,
B00.8,Otras formas de infecciones herpéticas,S71,Herpes simple,
B00.9,"Infección debida al virus del herpes, no especificada",S71,Herpes simple,
B01,Varicela,A72,Varicela,
B01.0,Meningitis debida a varicela (G02.0*),A72,Varicela,
B01.1,Encefalitis debida a varicela (G05.1*),A72,Varicela,
B01.2,Neumonía debida a varicela (J17.1*),A72,Varicela,
B01.8,Varicela con otras complicaciones,A72,Varicela,
B01.9,Varicela sin complicaciones,A72,Varicela,
B02,Herpes zoster,S70,Herpes zóster,
B02.0,Encefalitis debida a herpes zoster (G05.1*),N71,Meningitis/encefalitis,
B02.1,Meningitis debida a herpes zoster (G02.0*),N71,Meningitis/encefalitis,
B02.2,Herpes zoster con otros compromisos del sistema nervioso,S70,Herpes zóster,
B02.3,Herpes zoster ocular,S70,Herpes zóster,
B02.7,Herpes zoster diseminado,S70,Herpes zóster,
B02.8,Herpes zoster con otras complicaciones,S70,Herpes zóster,
B02.9,Herpes zoster sin complicaciones,S70,Herpes zóster,
B03,Viruela (1),A76,Otras enfermedades virales con exantema,
B04,Viruela de los monos,A76,Otras enfermedades virales con exantema,
B05,Sarampión,A71,Sarampión,
B05.0,Sarampión complicado con encefalitis (G05.1*),A71,Sarampión,
B05.1,Sarampión complicado con meningitis (G02.0*),A71,Sarampión,
B05.2,Sarampión complicado con neumonía (J17.1*),A71,Sarampión,
B05.3,Sarampión complicado con otitis media (H67.1*),A71,Sarampión,
B05.4,Sarampión con complicaciones intestinales,A71,Sarampión,
B05.8,Sarampión con otras complicaciones,A71,Sarampión,
B05.9,Sarampión sin complicaciones,A71,Sarampión,
B06,Rubéola [sarampión alemán],A74,Rubéola,
B06.0,Rubéola con complicaciones neurológicas,A74,Rubéola,
B06.8,Rubéola con otras complicaciones,A74,Rubéola,
B06.9,Rubéola sin complicaciones,A74,Rubéola,
B07,Verrugas víricas,S03,Verrugas,
B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas, no clasificadas en otra parte",A76,Otras enfermedades virales con exantema,
B08.0,Otras infecciones debidas a ortopoxvirus,A76,Otras enfermedades virales con exantema,
B08.1,Molusco contagioso,S95,Molluscum contagiosum,
B08.2,Exantema súbito [sexta enfermedad],A76,Otras enfermedades virales con exantema,
B08.3,Eritema infeccioso [quinta enfermedad],A76,Otras enfermedades virales con exantema,
B08.4,Estomatitis vesicular enteroviral con exantema,A76,Otras enfermedades virales con exantema,
B08.5,Faringitis vesicular enterovírica,R74,Infección respiratoria aguda del tracto superior,
B08.8,"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas",A76,Otras enfermedades virales con exantema,
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",A76,Otras enfermedades virales con exantema,
B15,Hepatitis aguda tipo A,D72,Hepatitis viral,
B15.0,"Hepatitis aguda tipo A, con coma hepático",D72,Hepatitis viral,
B15.9,"Hepatitis aguda tipo A, sin coma hepático",D72,Hepatitis viral,
B16,Hepatitis aguda tipo B,D72,Hepatitis viral,
B16.0,"Hepatitis aguda tipo B, con agente delta (coinfección), con coma hepático",D72,Hepatitis viral,
B16.1,"Hepatitis aguda tipo B, con agente delta (coinfección), sin coma hepático",D72,Hepatitis viral,
B16.2,"Hepatitis aguda tipo B, sin agente delta, con coma hepático",D72,Hepatitis viral,
B16.9,"Hepatitis aguda tipo B, sin agente delta y sin coma hepático",D72,Hepatitis viral,
B17,Otras hepatitis virales agudas,D72,Hepatitis viral,
B17.0,Infección (superinfección) aguda por agente delta en el portador de hepatitis B,D72,Hepatitis viral,
B17.1,Hepatitis aguda tipo C,D72,Hepatitis viral,
B17.2,Hepatitis aguda tipo E,D72,Hepatitis viral,
B17.8,Otras hepatitis virales agudas especificadas,D72,Hepatitis viral,
B18,Hepatitis viral crónica,D72,Hepatitis viral,
B18.0,"Hepatitis viral tipo B crónica, con agente delta",D72,Hepatitis viral,
B18.1,"Hepatitis viral tipo B crónica, sin agente delta",D72,Hepatitis viral,
B18.2,Hepatitis viral tipo C crónica,D72,Hepatitis viral,
B18.8,Otras hepatitis virales crónicas,D72,Hepatitis viral,
B18.9,"Hepatitis viral crónica, sin otra especificación",D72,Hepatitis viral,
B19,"Hepatitis viral, sin otra especificación",D72,Hepatitis viral,
B19.0,Hepatitis viral no especificada con coma,D72,Hepatitis viral,
B19.9,Hepatitis viral no especificada sin coma,D72,Hepatitis viral,
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B90,"Infección por VIH, sida",
B20.0,"Enfermedad por VIH, resultante en infección por micobacterias",B90,"Infección por VIH, sida",
B20.1,"Enfermedad por VIH, resultante en otras infecciones bacterianas",B90,"Infección por VIH, sida",
B20.2,"Enfermedad por VIH, resultante en enfermedad por citomegalovirus",B90,"Infección por VIH, sida",
B20.3,"Enfermedad por VIH, resultante en otras infecciones virales",B90,"Infección por VIH, sida",
B20.4,"Enfermedad por VIH, resultante en candidiasis",B90,"Infección por VIH, sida",
B20.5,"Enfermedad por VIH, resultante en otras micosis",B90,"Infección por VIH, sida",
B20.6,"Enfermedad por VIH, resultante en neumonía por Pneumocystis jirovecii",B90,"Infección por VIH, sida",
B20.7,"Enfermedad por VIH, resultante en infecciones múltiples",B90,"Infección por VIH, sida",
B20.8,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias",B90,"Infección por VIH, sida",
